x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
481;635;543;759;[     110.92      198.84      106.75];85.0;195.16;621;730;1;85.0;109.63;A;(255, 0, 0);4;5;512;697;1050.75;592.5
1328;377;1377;449;[        102      199.26      98.552];87.11;200.79;621;731;1;87.11;109.63;A;(255, 0, 0);4;5;1352;413;1050.75;592.5
1587;588;1642;702;[     108.18       217.6      135.68];102.24;194.08;621;756;1;102.24;109.63;A;(255, 0, 0);4;5;1614;645;1050.75;592.5
1179;602;1246;717;[     98.538       36.88      234.68];135.78;14.59;621;765;1;14.59;109.63;B;(0, 255, 0);4;5;1212;659;1066.2;594.6
1499;537;1562;657;[     99.649      40.127      234.47];133.71;11.34;621;801;1;11.34;109.63;B;(0, 255, 0);4;5;1530;597;1066.2;594.6
676;605;732;711;[      98.48      36.254      236.57];137.68;15.65;622;723;1;15.65;109.37;B;(0, 255, 0);3;6;704;658;1010.67;595.83
829;516;891;627;[     97.186      37.638      231.06];132.46;14.42;622;725;1;14.42;109.37;B;(0, 255, 0);3;6;860;571;1010.67;595.83
689;563;750;666;[     102.34      45.464      236.17];132.14;7.0;622;726;1;7.0;109.37;B;(0, 255, 0);3;6;719;614;1010.67;595.83
1664;588;1714;696;[     173.55      193.31      179.51];118.21;167.64;622;727;1;118.21;109.37;X;(0, 0, 255);3;6;1689;642;1689.0;642.0
1015;427;1059;528;[     95.574      31.663      243.98];146.49;23.78;622;728;1;23.78;109.37;B;(0, 255, 0);3;6;1037;477;1010.67;595.83
482;635;544;761;[     109.67       205.1      108.18];90.74;199.1;622;730;1;90.74;109.37;A;(255, 0, 0);3;6;513;698;1163.0;585.33
1332;377;1383;451;[     104.37      197.64       102.3];84.52;197.08;622;731;1;84.52;109.37;A;(255, 0, 0);3;6;1357;414;1163.0;585.33
1592;588;1647;701;[     108.66      213.29      139.91];98.57;188.26;622;756;1;98.57;109.37;A;(255, 0, 0);3;6;1619;644;1163.0;585.33
1179;602;1246;717;[     100.45      36.813      239.94];140.07;15.81;622;765;1;15.81;109.37;B;(0, 255, 0);3;6;1212;659;1010.67;595.83
1501;536;1563;657;[     103.43      39.081      238.16];137.31;12.16;622;801;1;12.16;109.37;B;(0, 255, 0);3;6;1532;596;1010.67;595.83
679;603;735;710;[     99.292      37.482      237.92];138.05;14.8;623;723;1;14.8;108.4;B;(0, 255, 0);3;6;707;656;1012.5;595.0
825;515;888;625;[     98.248      36.072      232.32];134.36;15.09;623;725;1;15.09;108.4;B;(0, 255, 0);3;6;856;570;1012.5;595.0
689;562;754;670;[     101.84      45.585      236.36];132.24;7.37;623;726;1;7.37;108.4;B;(0, 255, 0);3;6;721;616;1012.5;595.0
1669;588;1719;696;[     173.72      194.49      179.71];119.18;168.66;623;727;1;119.18;108.4;X;(0, 0, 255);3;6;1694;642;1694.0;642.0
1025;424;1068;524;[     95.676      30.527      247.38];149.92;26.47;623;728;1;26.47;108.4;B;(0, 255, 0);3;6;1046;474;1012.5;595.0
482;636;544;762;[     108.74      207.53      106.38];93.38;202.1;623;730;1;93.38;108.4;A;(255, 0, 0);3;6;513;699;1164.67;586.0
1334;377;1386;451;[     104.53      199.39      108.09];84.9;194.68;623;731;1;84.9;108.4;A;(255, 0, 0);3;6;1360;414;1164.67;586.0
1593;588;1649;703;[     108.94      210.24      137.54];95.23;186.79;623;756;1;95.23;108.4;A;(255, 0, 0);3;6;1621;645;1164.67;586.0
1177;600;1244;717;[     99.802      36.888      236.04];136.84;14.33;623;765;1;14.33;108.4;B;(0, 255, 0);3;6;1210;658;1012.5;595.0
1504;534;1567;658;[     99.802      40.128      226.71];127.4;11.84;623;801;1;11.84;108.4;B;(0, 255, 0);3;6;1535;596;1012.5;595.0
679;601;737;713;[     100.01      37.279      237.94];138.17;14.64;624;723;1;14.64;110.34;B;(0, 255, 0);3;6;708;657;1014.5;594.33
820;514;882;626;[     99.735      36.781      232.84];134.31;13.77;624;725;1;13.77;110.34;B;(0, 255, 0);3;6;851;570;1014.5;594.33
689;560;757;671;[     101.17       42.43      238.06];135.38;10.52;624;726;1;10.52;110.34;B;(0, 255, 0);3;6;723;615;1014.5;594.33
1675;587;1725;695;[     173.63      198.22       180.4];121.93;171.65;624;727;1;121.93;110.34;X;(0, 0, 255);3;6;1700;641;1700.0;641.0
1033;423;1077;523;[     95.102       30.39      246.72];149.49;26.41;624;728;1;26.41;110.34;B;(0, 255, 0);3;6;1055;473;1014.5;594.33
485;635;547;762;[     110.59      210.15      105.87];96.18;204.51;624;730;1;96.18;110.34;A;(255, 0, 0);3;6;516;698;1165.67;585.33
1332;378;1383;451;[     104.17      188.09      107.22];74.04;186.65;624;731;1;74.04;110.34;A;(255, 0, 0);3;6;1357;414;1165.67;585.33
1597;587;1652;702;[     89.447      74.807      112.67];45.02;122.77;624;756;1;45.02;110.34;A;(255, 0, 0);3;6;1624;644;1165.67;585.33
1177;597;1245;718;[     99.652       33.92      239.62];141.49;18.23;624;765;1;18.23;110.34;B;(0, 255, 0);3;6;1211;657;1014.5;594.33
1507;532;1571;657;[     100.85      40.852      225.54];126.0;11.32;624;801;1;11.32;110.34;B;(0, 255, 0);3;6;1539;594;1014.5;594.33
679;602;736;714;[     101.31      39.329      235.81];135.23;11.56;625;723;1;11.56;108.82;B;(0, 255, 0);3;6;707;658;1016.67;593.17
820;514;881;627;[     99.678      37.479      231.93];133.17;13.13;625;725;1;13.13;108.82;B;(0, 255, 0);3;6;850;570;1016.67;593.17
691;559;760;668;[     102.01       41.82      238.91];136.42;11.08;625;726;1;11.08;108.82;B;(0, 255, 0);3;6;725;613;1016.67;593.17
1682;585;1734;696;[      173.6      200.23      180.16];123.17;173.47;625;727;1;123.17;108.82;X;(0, 0, 255);3;6;1708;640;1708.0;640.0
1040;420;1084;519;[     96.214       30.21      247.44];150.13;26.51;625;728;1;26.51;108.82;B;(0, 255, 0);3;6;1062;469;1016.67;593.17
492;633;554;761;[     109.13      204.59      102.95];91.28;201.97;625;730;1;91.28;108.82;A;(255, 0, 0);3;6;523;697;1171.67;585.0
1334;378;1385;453;[     103.29      160.26      94.773];53.23;176.39;625;731;1;53.23;108.82;A;(255, 0, 0);3;6;1359;415;1171.67;585.0
