x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
365;686;420;798;[     107.15      46.467      234.53];131.22;3.92;526;723;1;3.92;92.56;B;(0, 255, 0);6;5;392;742;799.6;627.8
1359;524;1420;619;[      95.73       26.87      233.04];141.71;24.4;526;724;1;24.4;92.56;B;(0, 255, 0);6;5;1389;571;799.6;627.8
717;517;764;641;[     102.47      38.166       236.1];137.09;12.21;526;725;1;12.21;92.56;B;(0, 255, 0);6;5;740;579;799.6;627.8
531;523;584;634;[     58.561      60.491      125.26];72.04;117.05;526;726;1;72.04;92.56;A;(255, 0, 0);6;5;557;578;924.0;713.83
1300;610;1343;728;[     98.868      153.11      55.934];77.13;204.35;526;727;1;77.13;92.56;X;(0, 0, 255);6;5;1321;669;1321.0;669.0
491;480;540;586;[     98.932      29.373      232.16];139.31;20.79;526;728;1;20.79;92.56;B;(0, 255, 0);6;5;515;533;799.6;627.8
1007;1051;1038;1080;[     88.945      87.016      43.497];87.11;192.62;526;729;1;87.11;92.56;A;(255, 0, 0);6;5;1022;1065;924.0;713.83
311;722;380;854;[     88.132      65.497      118.76];53.99;115.4;526;730;1;53.99;92.56;A;(255, 0, 0);6;5;345;788;924.0;713.83
982;306;1016;377;[     103.83      121.75      118.79];7.03;134.27;526;731;1;7.03;92.56;A;(255, 0, 0);6;5;999;341;924.0;713.83
1157;573;1220;667;[     108.09      216.18       122.7];99.21;199.64;526;756;1;99.21;92.56;A;(255, 0, 0);6;5;1188;620;924.0;713.83
938;650;986;778;[     105.29      41.483      237.91];136.73;9.79;526;765;1;9.79;92.56;B;(0, 255, 0);6;5;962;714;799.6;627.8
1395;822;1467;964;[     104.08      188.81      95.208];77.28;195.4;527;722;1;77.28;94.47;A;(255, 0, 0);5;5;1431;893;900.2;643.8
360;689;415;803;[     106.21      44.773      235.01];132.52;5.35;527;723;1;5.35;94.47;B;(0, 255, 0);5;5;387;746;796.4;629.0
1360;525;1420;622;[     95.151      26.977      233.57];142.09;24.6;527;724;1;24.6;94.47;B;(0, 255, 0);5;5;1390;573;796.4;629.0
711;516;757;641;[     103.23      37.778      237.08];138.11;12.73;527;725;1;12.73;94.47;B;(0, 255, 0);5;5;734;578;796.4;629.0
523;522;576;636;[     56.284      58.415      126.55];75.12;116.65;527;726;1;75.12;94.47;A;(255, 0, 0);5;5;549;579;900.2;643.8
1297;612;1341;730;[     173.38      181.13      172.92];106.91;159.5;527;727;1;106.91;94.47;X;(0, 0, 255);5;5;1319;671;1319.0;671.0
488;483;536;588;[     97.631      30.512      233.01];139.31;20.3;527;728;1;20.3;94.47;B;(0, 255, 0);5;5;512;535;796.4;629.0
299;722;367;851;[     90.515      68.249      112.52];51.74;121.58;527;730;1;51.74;94.47;A;(255, 0, 0);5;5;333;786;900.2;643.8
979;311;1013;379;[     105.15      192.35      91.424];82.03;200.57;527;731;1;82.03;94.47;A;(255, 0, 0);5;5;996;345;900.2;643.8
1158;565;1226;667;[     100.29      60.468      221.93];113.15;16.24;527;756;1;16.24;94.47;A;(255, 0, 0);5;5;1192;616;900.2;643.8
936;650;982;777;[     103.71      41.218       238.1];137.02;10.39;527;765;1;10.39;94.47;B;(0, 255, 0);5;5;959;713;796.4;629.0
1392;823;1464;966;[     104.77       191.8      96.279];79.7;196.81;528;722;1;79.7;99.54;A;(255, 0, 0);5;5;1428;894;895.8;644.6
357;691;412;807;[     105.89      42.462      237.98];136.26;9.08;528;723;1;9.08;99.54;B;(0, 255, 0);5;5;384;749;794.0;631.2
1362;527;1421;625;[     96.003      27.296      234.45];142.52;24.03;528;724;1;24.03;99.54;B;(0, 255, 0);5;5;1391;576;794.0;631.2
707;517;753;642;[     103.27      36.863      238.64];139.92;14.24;528;725;1;14.24;99.54;B;(0, 255, 0);5;5;730;579;794.0;631.2
514;522;566;638;[     79.913      62.008      121.62];59.82;113.77;528;726;1;59.82;99.54;A;(255, 0, 0);5;5;540;580;895.8;644.6
1293;614;1338;732;[     173.28      184.65      172.87];108.97;162.41;528;727;1;108.97;99.54;X;(0, 0, 255);5;5;1315;673;1315.0;673.0
486;486;532;590;[     98.012      29.074      236.65];143.04;22.01;528;728;1;22.01;99.54;B;(0, 255, 0);5;5;509;538;794.0;631.2
287;722;357;854;[     86.124      68.941      112.35];52.38;122.5;528;730;1;52.38;99.54;A;(255, 0, 0);5;5;322;788;895.8;644.6
975;310;1011;380;[     104.14      201.59      92.673];90.12;206.44;528;731;1;90.12;99.54;A;(255, 0, 0);5;5;993;345;895.8;644.6
1162;564;1230;669;[     97.893      57.677       217.3];110.72;18.74;528;756;1;18.74;99.54;A;(255, 0, 0);5;5;1196;616;895.8;644.6
934;652;979;776;[     103.38      40.798      238.36];137.47;10.94;528;765;1;10.94;99.54;B;(0, 255, 0);5;5;956;714;794.0;631.2
1390;826;1460;969;[     104.63      193.35      97.455];80.75;197.14;529;722;1;80.75;95.79;A;(255, 0, 0);5;5;1425;897;891.2;647.2
356;691;411;810;[     104.91      41.697      237.68];136.42;9.53;529;723;1;9.53;95.79;B;(0, 255, 0);5;5;383;750;792.6;632.6
1365;528;1422;626;[     94.418      27.195      236.55];144.3;25.17;529;724;1;25.17;95.79;B;(0, 255, 0);5;5;1393;577;792.6;632.6
704;519;748;643;[     101.71      36.379      239.69];141.06;15.58;529;725;1;15.58;95.79;B;(0, 255, 0);5;5;726;581;792.6;632.6
505;523;556;640;[     110.05      188.93      134.76];72.96;170.32;529;726;1;72.96;95.79;A;(255, 0, 0);5;5;530;581;891.2;647.2
1290;616;1334;734;[     173.23       188.3       171.9];110.82;165.8;529;727;1;110.82;95.79;X;(0, 0, 255);5;5;1312;675;1312.0;675.0
486;491;530;591;[      95.67      30.643      240.02];144.87;22.71;529;728;1;22.71;95.79;B;(0, 255, 0);5;5;508;541;792.6;632.6
274;725;346;858;[     85.998      74.942      108.61];48.03;127.26;529;730;1;48.03;95.79;A;(255, 0, 0);5;5;310;791;891.2;647.2
973;312;1010;382;[     103.67      106.45      120.47];11.24;125.13;529;731;1;11.24;95.79;A;(255, 0, 0);5;5;991;347;891.2;647.2
1166;568;1234;672;[     100.38      57.725      212.83];106.87;21.52;529;756;1;21.52;95.79;A;(255, 0, 0);5;5;1200;620;891.2;647.2
931;653;976;775;[     104.64      41.783       239.8];138.13;11.0;529;765;1;11.0;95.79;B;(0, 255, 0);5;5;953;714;792.6;632.6
1388;827;1455;972;[     107.32      192.03      100.21];78.73;194.29;530;722;1;78.73;95.08;A;(255, 0, 0);5;5;1421;899;886.6;648.6
356;691;411;813;[     104.47      36.931      243.66];144.02;17.09;530;723;1;17.09;95.08;B;(0, 255, 0);5;5;383;752;791.0;634.8
1367;531;1422;628;[     97.617      27.255      236.67];144.2;23.8;530;724;1;23.8;95.08;B;(0, 255, 0);5;5;1394;579;791.0;634.8
700;522;744;644;[     102.23      35.376      239.84];141.76;16.32;530;725;1;16.32;95.08;B;(0, 255, 0);5;5;722;583;791.0;634.8
496;525;546;642;[     89.005      62.875      125.99];56.06;107.83;530;726;1;56.06;95.08;A;(255, 0, 0);5;5;521;583;886.6;648.6
1287;619;1331;737;[     173.06      188.42      173.37];111.43;165.31;530;727;1;111.43;95.08;X;(0, 0, 255);5;5;1309;678;1309.0;678.0
484;495;526;593;[     94.958      30.688      239.69];144.62;22.89;530;728;1;22.89;95.08;B;(0, 255, 0);5;5;505;544;791.0;634.8
266;728;338;861;[     110.67      190.47      108.83];75.3;187.44;530;730;1;75.3;95.08;A;(255, 0, 0);5;5;302;794;886.6;648.6
968;312;1006;384;[     106.12      121.27      113.12];12.05;138.8;530;731;1;12.05;95.08;A;(255, 0, 0);5;5;987;348;886.6;648.6
1168;565;1237;674;[     101.48      58.122      220.89];113.43;14.92;530;756;1;14.92;95.08;A;(255, 0, 0);5;5;1202;619;886.6;648.6
929;656;973;776;[     104.74      41.308      240.37];138.87;11.72;530;765;1;11.72;95.08;B;(0, 255, 0);5;5;951;716;791.0;634.8
1384;831;1449;975;[     105.85      195.32      101.11];81.55;196.13;531;722;1;81.55;96.8;A;(255, 0, 0);5;5;1416;903;881.8;651.4
355;692;410;814;[     103.47      38.616      235.18];136.08;11.2;531;723;1;11.2;96.8;B;(0, 255, 0);5;5;382;753;789.8;637.0
1370;533;1424;631;[     97.403      27.346      237.69];144.95;24.04;531;724;1;24.04;96.8;B;(0, 255, 0);5;5;1397;582;789.8;637.0
697;525;740;647;[     101.52      35.788      240.19];141.81;16.37;531;725;1;16.37;96.8;B;(0, 255, 0);5;5;718;586;789.8;637.0
489;529;538;644;[     93.875      67.347      129.92];50.95;104.0;531;726;1;50.95;96.8;A;(255, 0, 0);5;5;513;586;881.8;651.4
1283;622;1328;740;[     173.11      188.83       174.1];112.04;165.42;531;727;1;112.04;96.8;X;(0, 0, 255);5;5;1305;681;1305.0;681.0
482;498;524;595;[     95.406      28.436      241.16];147.12;25.04;531;728;1;25.04;96.8;B;(0, 255, 0);5;5;503;546;789.8;637.0
256;730;329;865;[     109.11      192.98      106.74];78.05;190.68;531;730;1;78.05;96.8;A;(255, 0, 0);5;5;292;797;881.8;651.4
964;314;1001;386;[     106.86      125.25      112.64];14.48;141.31;531;731;1;14.48;96.8;A;(255, 0, 0);5;5;982;350;881.8;651.4
1172;567;1240;676;[     102.24      58.024      223.95];116.1;12.59;531;756;1;12.59;96.8;A;(255, 0, 0);5;5;1206;621;881.8;651.4
927;658;971;778;[     104.24      41.815      238.75];137.24;10.29;531;765;1;10.29;96.8;B;(0, 255, 0);5;5;949;718;789.8;637.0
1382;833;1445;979;[     104.27      193.72      102.55];79.58;193.99;532;722;1;79.58;96.8;A;(255, 0, 0);5;5;1413;906;877.4;654.8
354;691;409;818;[     102.82      36.512      242.56];143.35;16.9;532;723;1;16.9;96.8;B;(0, 255, 0);5;5;381;754;788.2;638.2
1372;534;1424;633;[     97.915      27.703      239.61];146.22;24.11;532;724;1;24.11;96.8;B;(0, 255, 0);5;5;1398;583;788.2;638.2
693;529;737;650;[     99.687      34.212      240.33];142.87;18.29;532;725;1;18.29;96.8;B;(0, 255, 0);5;5;715;589;788.2;638.2
484;536;530;647;[     87.976      74.941      130.36];45.24;106.05;532;726;1;45.24;96.8;A;(255, 0, 0);5;5;507;591;877.4;654.8
1280;626;1326;743;[        173      188.91      173.71];111.85;165.58;532;727;1;111.85;96.8;X;(0, 0, 255);5;5;1303;684;1303.0;684.0
480;499;520;592;[     95.016      68.275      134.93];50.68;99.15;532;728;1;50.68;96.8;B;(0, 255, 0);5;5;500;545;788.2;638.2
246;730;320;867;[     109.56      196.79      106.95];81.75;193.45;532;730;1;81.75;96.8;A;(255, 0, 0);5;5;283;798;877.4;654.8
959;318;995;388;[        106      192.59      93.078];81.64;199.59;532;731;1;81.64;96.8;A;(255, 0, 0);5;5;977;353;877.4;654.8
1176;575;1239;677;[     104.13      55.602      224.31];117.65;10.13;532;756;1;10.13;96.8;A;(255, 0, 0);5;5;1207;626;877.4;654.8
925;660;969;781;[     105.54      42.824      237.73];135.85;8.67;532;765;1;8.67;96.8;B;(0, 255, 0);5;5;947;720;788.2;638.2
1380;836;1441;982;[     101.26      195.52      99.895];82.07;197.16;533;722;1;82.07;98.53;A;(255, 0, 0);5;5;1410;909;872.8;657.2
354;692;408;816;[     102.23      37.084      243.59];143.88;17.33;533;723;1;17.33;98.53;B;(0, 255, 0);5;5;381;754;786.6;638.6
1374;535;1426;636;[     98.702       27.73      239.13];145.8;23.67;533;724;1;23.67;98.53;B;(0, 255, 0);5;5;1400;585;786.6;638.6
690;534;733;652;[      98.51      33.548      242.85];145.34;20.55;533;725;1;20.55;98.53;B;(0, 255, 0);5;5;711;593;786.6;638.6
478;539;524;650;[     109.45      202.28      131.91];85.78;182.98;533;726;1;85.78;98.53;A;(255, 0, 0);5;5;501;594;872.8;657.2
1279;630;1325;746;[     173.21      187.38      172.65];110.54;164.75;533;727;1;110.54;98.53;X;(0, 0, 255);5;5;1302;688;1302.0;688.0
479;500;515;582;[     97.246      26.745      242.63];149.23;26.32;533;728;1;26.32;98.53;B;(0, 255, 0);5;5;497;541;786.6;638.6
